Agent_name,Level,ap_,explorer,seer,collector,trekker,builder,connector,mind-controller,illuminator,binder,country-master,recharger,liberator,pioneer,engineer,purifier,neutralizer,disruptor,salvator,guardian,smuggler,link-master,controller,field-master,specops,hacker,translator,sojourner,recruiter,Last_submission
@bebother,15,"24,006,152","4,939",0,"82,635,006","1,300","31,022","3,825","2,025","2,062,376",235,"95,080","35,488,814","7,653","3,240","2,862","33,920","5,160","6,398","2,907",-,-,-,-,-,59,"26,910","9,553",18,0,4/_3/_2015
@cipherseven,13,"12,091,357","2,259",4,"35,369,762",723,"17,679","2,731","1,088","260,338",130,"8,252","14,337,804","3,047","1,067","1,024","13,619","2,285","2,473","1,156",-,-,-,-,-,9,"10,579","13,661",93,0,6/_7/_2015
@57Cell ,13,"16,647,558","2,676",58,"38,116,386","1,499","19,860","4,400","3,739","329,964",338,"43,404","16,848,131","3,923","1,581",831,"17,464","2,752","3,270","1,471",-,-,-,-,-,10,"10,870","7,038",90,0,6/_3/_2015
@felixmeister,15,"25,531,832","3,712",8,"84,663,843","1,158","31,541","3,358","2,811","132,298",249,"19,545","26,972,660","7,033","2,582","2,632","47,187","7,894","8,107","3,970",160,72,933,39,"4,101",10,"20,978","40,651",50,0,6/_9/_2015
@sergalbutt,12,"9,726,179","2,152",0,"37,324,031",646,"15,730","2,280","1,268","3,544,712",240,"892,678","11,183,434","1,858","1,029",206,"13,222","2,312","2,331","1,044",-,-,-,-,-,2,"15,568",0,0,0,12/_26/_2014
@Taelden,15,"28,818,324","6,138",7,"166,335,134","2,196","53,233","12,438","4,055","121,985",161,"8,943","88,562,649","5,007","2,110","1,545","41,477","5,623","7,317","3,090",-,-,-,-,-,1,"59,735",154,79,1,5/_24/_2015
@Balsam,15,"31,424,728","5,606",24,"134,049,861","1,365","55,956","11,874","3,644","496,576",728,"275,363","63,327,094","6,993","2,840","2,064","53,844","7,249","9,791","3,891",-,-,-,-,-,2,"56,842","14,722",93,0,6/_6/_2015
@medburk0,15,"35,299,005","4,403",9,"111,869,307","1,836","56,771","6,284","2,773","614,210",325,"42,732","38,045,126","11,422","2,256","2,858","70,669","13,858","11,172","4,920",-,-,-,-,-,1,"45,577","9,593",93,0,6/_7/_2015
@grrrunt,15,"31,899,399","4,449",226,"121,834,116","1,082","61,128","8,473","1,895","4,910,222","1,753","976,835","43,621,825","9,228","2,792","1,199","71,907","9,838","11,918","4,998",140,65,"3,148",34,"71,276",1,"63,896",0,72,0,5/_23/_2015
@truthfist,16,"40,529,312","5,631",5,"128,977,375","1,763","82,177","12,251","4,515","7,551,335",233,"927,644","51,296,309","11,144","1,769","2,902","58,143","9,451","9,142","4,035",-,-,-,-,-,0,"65,962","8,721",32,0,5/_8/_2015
@BuiBoy,16,"48,459,321","3,773",5,"136,060,452","2,500","73,708","15,569","5,350","339,602",41,"9,926","47,097,104","15,860","2,035","2,651","98,190","13,806","16,409","6,425",-,-,-,-,-,0,"57,086","26,296",59,0,6/_9/_2015
@spinalfrontier,16,"42,822,769","2,580",67,"121,338,706","2,046","84,809","6,814","2,131","137,643",588,"9,832","46,054,618","15,003","1,105","2,789","86,730","13,732","13,833","5,643",-,-,-,-,-,0,"56,199","19,806",83,0,5/_27/_2015
@brhawk,14,"19,755,641","1,836",5,"61,531,613",802,"33,972","6,010","3,237","239,078",185,"190,305","23,822,414","4,749","1,204","1,598","24,926","4,731","3,912","1,619",137,30,"2,720",30,"19,222",0,"24,527","4,704",18,0,6/_9/_2015
@SecondSnowball,16,"50,472,305","1,545",3,"172,014,976","2,085","97,439","8,241","2,648","14,080",113,"2,129","70,919,507","15,633","1,105","8,331","89,062","15,986","12,228","4,825",-,-,-,-,-,4,"55,455","88,037",96,0,6/_9/_2015
@senectus,16,"47,899,312","3,880",163,"110,825,829","1,475","104,821","16,387","4,586","352,096",135,"52,339","34,004,734","15,486","2,111","3,420","81,745","13,204","11,857","4,402",-,-,-,-,-,9,"80,566","50,006",45,1,4/_20/_2015
@Spanner73,14,"23,778,419","3,580",13,"79,825,446","1,055","42,812","10,609","2,637","85,664","1,666","5,151","31,377,609","5,670","1,744","1,324","53,986","6,801","8,056","2,898",-,-,-,-,-,0,"41,426","4,751",93,0,6/_6/_2015
@PeopleEater,11,"9,571,426","1,348",8,"34,371,811",618,"22,817","5,146",975,"27,235",183,"1,686","18,000,716","2,587",611,522,"14,444","1,959","1,670",580,-,-,-,-,-,4,"15,578",804,23,0,6/_7/_2015
@maninwhite766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/_0/_0
